タイムスタンプ,ランサーズのユーザー名を入力してください,あなたの性別は男性ですか？,年齢,上記の説明を読んだ上で、研究へのご協力にご承諾いただけますでしょうか？,No.1の画像があなたの好みであるかを0から10で評価してください．,No.2の画像があなたの好みであるかを0から10で評価してください．,No.3の画像があなたの好みであるかを0から10で評価してください．,No.4の画像があなたの好みであるかを0から10で評価してください．,No.5の画像があなたの好みであるかを0から10で評価してください．,No.6の画像があなたの好みであるかを0から10で評価してください．,No.7の画像があなたの好みであるかを0から10で評価してください．,No.8の画像があなたの好みであるかを0から10で評価してください．,No.9の画像があなたの好みであるかを0から10で評価してください．,No.10の画像があなたの好みであるかを0から10で評価してください．,No.11の画像があなたの好みであるかを0から10で評価してください．,No.12の画像があなたの好みであるかを0から10で評価してください．,No.13の画像があなたの好みであるかを0から10で評価してください．,No.14の画像があなたの好みであるかを0から10で評価してください．,No.15の画像があなたの好みであるかを0から10で評価してください．,No.16の画像があなたの好みであるかを0から10で評価してください．,No.17の画像があなたの好みであるかを0から10で評価してください．,No.18の画像があなたの好みであるかを0から10で評価してください．,No.19の画像があなたの好みであるかを0から10で評価してください．,No.20の画像があなたの好みであるかを0から10で評価してください．,No.21の画像があなたの好みであるかを0から10で評価してください．,No.22の画像があなたの好みであるかを0から10で評価してください．,No.23の画像があなたの好みであるかを0から10で評価してください．,No.24の画像があなたの好みであるかを0から10で評価してください．,No.25の画像があなたの好みであるかを0から10で評価してください．,No.26の画像があなたの好みであるかを0から10で評価してください．,No.27の画像があなたの好みであるかを0から10で評価してください．,No.28の画像があなたの好みであるかを0から10で評価してください．,No.29の画像があなたの好みであるかを0から10で評価してください．,No.30の画像があなたの好みであるかを0から10で評価してください．,No.31の画像があなたの好みであるかを0から10で評価してください．,No.32の画像があなたの好みであるかを0から10で評価してください．,No.33の画像があなたの好みであるかを0から10で評価してください．,No.34の画像があなたの好みであるかを0から10で評価してください．,No.35の画像があなたの好みであるかを0から10で評価してください．,No.36の画像があなたの好みであるかを0から10で評価してください．,No.37の画像があなたの好みであるかを0から10で評価してください．,No.38の画像があなたの好みであるかを0から10で評価してください．,No.39の画像があなたの好みであるかを0から10で評価してください．,No.40の画像があなたの好みであるかを0から10で評価してください．,No.41の画像があなたの好みであるかを0から10で評価してください．,No.42の画像があなたの好みであるかを0から10で評価してください．,No.43の画像があなたの好みであるかを0から10で評価してください．,No.44の画像があなたの好みであるかを0から10で評価してください．,No.45の画像があなたの好みであるかを0から10で評価してください．,No.46の画像があなたの好みであるかを0から10で評価してください．,No.47の画像があなたの好みであるかを0から10で評価してください．,No.48の画像があなたの好みであるかを0から10で評価してください．,No.49の画像があなたの好みであるかを0から10で評価してください．,No.50の画像があなたの好みであるかを0から10で評価してください．,No.51の画像があなたの好みであるかを0から10で評価してください．,No.52の画像があなたの好みであるかを0から10で評価してください．,No.53の画像があなたの好みであるかを0から10で評価してください．,No.54の画像があなたの好みであるかを0から10で評価してください．,No.55の画像があなたの好みであるかを0から10で評価してください．,No.56の画像があなたの好みであるかを0から10で評価してください．,No.57の画像があなたの好みであるかを0から10で評価してください．,No.58の画像があなたの好みであるかを0から10で評価してください．,No.59の画像があなたの好みであるかを0から10で評価してください．,No.60の画像があなたの好みであるかを0から10で評価してください．,No.61の画像があなたの好みであるかを0から10で評価してください．,No.62の画像があなたの好みであるかを0から10で評価してください．,No.63の画像があなたの好みであるかを0から10で評価してください．,No.64の画像があなたの好みであるかを0から10で評価してください．,No.65の画像があなたの好みであるかを0から10で評価してください．,No.66の画像があなたの好みであるかを0から10で評価してください．,No.67の画像があなたの好みであるかを0から10で評価してください．,No.68の画像があなたの好みであるかを0から10で評価してください．,No.69の画像があなたの好みであるかを0から10で評価してください．,No.70の画像があなたの好みであるかを0から10で評価してください．,No.71の画像があなたの好みであるかを0から10で評価してください．,No.72の画像があなたの好みであるかを0から10で評価してください．,No.73の画像があなたの好みであるかを0から10で評価してください．,No.74の画像があなたの好みであるかを0から10で評価してください．,No.75の画像があなたの好みであるかを0から10で評価してください．,No.76の画像があなたの好みであるかを0から10で評価してください．,No.77の画像があなたの好みであるかを0から10で評価してください．,No.78の画像があなたの好みであるかを0から10で評価してください．,No.79の画像があなたの好みであるかを0から10で評価してください．,No.80の画像があなたの好みであるかを0から10で評価してください．,No.81の画像があなたの好みであるかを0から10で評価してください．,No.82の画像があなたの好みであるかを0から10で評価してください．,No.83の画像があなたの好みであるかを0から10で評価してください．,No.84の画像があなたの好みであるかを0から10で評価してください．,No.85の画像があなたの好みであるかを0から10で評価してください．,No.86の画像があなたの好みであるかを0から10で評価してください．,No.87の画像があなたの好みであるかを0から10で評価してください．,No.88の画像があなたの好みであるかを0から10で評価してください．,No.89の画像があなたの好みであるかを0から10で評価してください．,No.90の画像があなたの好みであるかを0から10で評価してください．,No.91の画像があなたの好みであるかを0から10で評価してください．,No.92の画像があなたの好みであるかを0から10で評価してください．,No.93の画像があなたの好みであるかを0から10で評価してください．,No.94の画像があなたの好みであるかを0から10で評価してください．,No.95の画像があなたの好みであるかを0から10で評価してください．,No.96の画像があなたの好みであるかを0から10で評価してください．,No.97の画像があなたの好みであるかを0から10で評価してください．,No.98の画像があなたの好みであるかを0から10で評価してください．,No.99の画像があなたの好みであるかを0から10で評価してください．,No.100の画像があなたの好みであるかを0から10で評価してください．,普段周りにドレスを着ている人は多いですか？,あなたは服にこだわりがありますか？,確認用コードをコピーし，ランサーズ側のアンケートに貼り付けましたか？
9/13/2022 6:30:44,akkun1,はい,53,はい,8,3,6,7,8,2,7,6,7,6,7,3,7,7,3,2,6,4,3,1,4,1,4,6,5,3,7,1,2,6,3,1,2,1,8,4,5,6,3,6,1,2,2,7,6,7,4,5,7,7,6,4,2,7,1,1,3,6,6,1,3,5,4,3,7,6,6,7,5,5,6,5,4,1,7,5,4,4,5,4,2,6,5,2,3,2,4,4,4,3,3,5,4,5,3,3,2,5,0,5,ほどんどいない,あまりこだわりがない,はい
9/13/2022 6:31:24,o1571139,はい,36,はい,8,4,2,8,4,10,4,1,6,9,9,3,0,1,4,3,5,4,4,5,4,3,5,8,6,5,9,7,5,7,0,1,5,2,7,7,9,8,7,8,0,1,8,6,5,6,5,5,3,7,5,3,0,10,0,5,2,8,10,0,2,7,4,6,3,1,2,5,8,7,7,6,5,2,7,8,8,4,2,5,2,4,5,0,2,4,5,5,3,8,4,6,7,7,4,7,4,5,1,6,ほどんどいない,あまりこだわりがない,はい
9/13/2022 6:35:40,a45197,はい,37,はい,3,3,1,2,7,3,2,1,5,2,6,3,2,4,4,5,4,6,5,4,4,4,5,5,7,4,7,5,5,5,7,5,7,5,5,4,4,5,4,8,4,3,4,5,4,4,4,5,4,9,5,4,1,3,4,4,5,5,5,3,4,4,4,6,5,7,5,4,8,8,5,5,5,3,9,5,5,4,7,4,4,5,8,3,6,4,4,4,6,4,4,5,7,8,5,5,5,7,0,10,ほどんどいない,あまりこだわりがない,はい
9/13/2022 6:36:10,d87wtqejmb,はい,37,はい,7,2,9,4,5,8,6,4,6,6,8,6,7,4,4,4,3,2,4,2,3,2,4,8,4,4,5,2,5,6,2,4,5,4,6,3,5,7,4,6,3,3,8,8,8,6,4,7,5,7,8,5,2,6,3,2,4,7,8,2,3,4,2,7,6,4,8,6,8,8,8,5,5,2,6,4,5,8,4,6,3,6,6,5,5,5,6,6,4,3,7,8,7,4,3,3,4,4,0,3,ほどんどいない,全くこだわりがない,はい
9/13/2022 6:36:40,mikib941,はい,57,はい,6,8,5,6,5,7,7,8,8,7,5,7,7,7,9,6,7,6,6,6,7,7,4,4,5,7,8,7,5,7,6,6,5,4,4,4,4,4,3,7,6,7,5,7,7,6,4,4,5,4,7,5,5,5,5,5,6,5,5,4,6,6,6,6,7,8,4,5,5,4,4,6,5,4,5,5,5,7,6,5,7,5,4,5,4,5,6,4,6,5,4,6,7,5,5,5,4,3,3,4,ほどんどいない,どちらとも言えない,はい
9/13/2022 6:36:56,koujikouji44,はい,50,はい,7,3,1,3,5,1,3,7,9,6,3,3,9,9,8,4,3,1,4,4,6,2,4,6,4,4,4,4,8,6,6,4,4,2,5,1,3,6,6,7,0,1,3,10,10,8,1,9,6,6,7,4,0,7,0,3,3,7,6,0,0,9,3,7,7,5,4,4,8,7,10,7,5,1,5,2,6,6,6,1,4,5,6,0,4,4,8,9,6,7,6,4,4,4,3,4,2,5,0,9,ほどんどいない,ややこだわりがある,はい
9/13/2022 6:37:15,mamesyuwa,はい,25,はい,0,2,2,2,6,3,5,4,6,7,7,2,2,2,6,3,4,5,6,6,3,4,4,7,6,4,6,5,6,4,4,6,6,6,6,5,6,7,4,6,4,4,0,3,1,6,2,5,7,7,6,2,0,8,1,4,3,4,6,2,2,2,3,5,6,6,6,4,6,6,7,6,4,0,4,3,6,4,3,3,3,3,3,1,1,1,1,4,2,1,3,6,5,4,2,2,1,6,0,2,ほどんどいない,どちらとも言えない,はい
9/13/2022 6:38:14,tisora,はい,55,はい,7,2,6,7,4,6,7,8,7,6,7,5,4,6,3,2,4,3,4,5,6,2,7,7,4,2,3,2,6,3,2,3,3,1,5,5,6,7,5,4,2,2,4,6,5,4,6,7,4,9,4,5,5,6,2,6,4,8,7,3,2,6,4,3,2,3,4,3,7,6,7,3,5,4,6,5,4,7,5,6,2,3,5,3,3,2,7,6,2,4,5,6,3,5,6,6,7,4,0,5,ほどんどいない,あまりこだわりがない,はい
9/13/2022 6:38:39,tatituteto013,はい,39,はい,5,6,6,4,5,5,3,3,4,5,6,5,4,4,6,7,5,5,5,4,4,5,5,7,5,5,6,5,5,5,6,6,6,4,6,5,5,7,5,6,4,5,6,5,5,7,5,5,4,7,5,5,3,7,3,3,4,6,5,3,4,4,4,4,5,5,6,6,6,6,6,6,5,3,5,5,6,5,5,5,5,5,4,3,4,4,5,5,5,5,6,5,5,5,5,5,5,5,4,5,少ない,あまりこだわりがない,はい
9/13/2022 6:39:40,kuro_pakt27804,はい,62,はい,6,4,3,3,5,4,4,3,5,6,6,5,4,4,5,5,6,6,5,4,5,5,5,6,6,5,5,4,6,5,4,4,5,3,6,5,5,6,5,6,4,4,4,5,5,6,6,6,4,6,5,5,4,4,4,3,5,6,6,4,4,4,4,5,5,4,5,4,6,6,6,5,5,3,6,5,5,6,4,4,4,5,4,3,4,3,5,5,4,3,5,5,5,4,4,4,4,4,2,5,少ない,どちらとも言えない,はい
9/13/2022 6:39:43,caster-mildmild,はい,43,はい,7,5,4,4,3,4,3,2,4,3,4,3,4,3,4,3,4,4,4,3,4,3,6,7,4,4,6,3,5,4,3,4,3,2,4,5,7,5,4,5,3,4,3,5,5,6,4,5,4,5,4,4,3,4,3,4,5,5,5,3,5,3,4,6,4,4,7,4,8,7,6,5,4,1,4,4,5,4,3,4,3,6,4,3,4,3,4,4,2,3,5,4,5,4,3,3,4,2,0,4,ほどんどいない,あまりこだわりがない,はい
